Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","4729.042179","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","19621.802455","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","175255.727017","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","366644.891404","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","5561.459461","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","12776.280738","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","67863.851626","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","209755.003251","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2496032.4141","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","3732743.446219","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2361.635625","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","3192.603086","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","17812.704626","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","136709.891897","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","170.706104","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","281.801879","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","856.396296","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1181.448148","X","Sources internationales sûres",""
"MK","Indicateurs macro","151","Antilles néerlandaises (ex)","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","3019.647712","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","215807.858023","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","746647.127408","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","140444.139675","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","613316.027357","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2993.550393","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","11121.46443","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2118.129477","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2701.759777","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","558422.134392","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1543216.347504","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","261685.687441","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","430068.712972","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","7276.413079","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","74160.553009","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","8870.1","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","10568.4","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","11074.822141","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","32539.557497","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","51690.437358","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","153504.934847","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","3306.959448","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","4677.25","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","18428.403815","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","75527.534437","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","317369.476911","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","521642.714408","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","983.514113","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1579.413516","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","3905.302433","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","10888.941592","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","4186.525","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","6465.755981","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","621.982253","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1798.331398","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","8082.399992","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","30659.33888","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","8712.800449","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","18179.104674","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","7511.527477","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","14901.698534","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","558922.146818","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2472819.362259","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","7265.920303","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","18094.152875","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","21144.95571","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","55592.598457","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","4730.140672","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","13440.479418","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","595.481332","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2451.62528","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","925.693193","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1850.95214","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","4664.899329","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","15268.706934","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","14735.453499","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","32348.147495","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","895575.10965","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1847206.580024","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","76084.234602","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","278384.345259","X","Sources internationales sûres",""
"MK","Indicateurs macro","351","Chine","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","1829860.73875","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"MK","Indicateurs macro","351","Chine","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","9897719.344278","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","161385.558802","X","Sources internationales sûres",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","275696.879835","X","Sources internationales sûres",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","8194.991104","X","Sources internationales sûres",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","51552.364121","X","Sources internationales sûres",""
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","1660280.188844","X","Sources internationales sûres",""
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","9570470.100322","X","Sources internationales sûres",""
"MK","Indicateurs macro","50","Chypre","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","14529.168064","X","Sources internationales sûres",""
"MK","Indicateurs macro","50","Chypre","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","23892.691524","X","Sources internationales sûres",""
"MK","Indicateurs macro","44","Colombie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","94029.83197","X","Sources internationales sûres",""
"MK","Indicateurs macro","44","Colombie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","382116.120909","X","Sources internationales sûres",""
"MK","Indicateurs macro","45","Comores","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","657.32798","X","Sources internationales sûres",""
"MK","Indicateurs macro","45","Comores","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1115.905293","X","Sources internationales sûres",""
"MK","Indicateurs macro","46","Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","3646.832939","X","Sources internationales sûres",""
"MK","Indicateurs macro","46","Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","17953.615755","X","Sources internationales sûres",""
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","17195.913957","X","Sources internationales sûres",""
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","49745.08487","X","Sources internationales sûres",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","15306.598754","X","Sources internationales sûres",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","38803.859037","X","Sources internationales sûres",""
"MK","Indicateurs macro","98","Croatie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","34686.712108","X","Sources internationales sûres",""
"MK","Indicateurs macro","98","Croatie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","58057.146117","X","Sources internationales sûres",""
"MK","Indicateurs macro","49","Cuba","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","35901.1","X","Sources internationales sûres",""
"MK","Indicateurs macro","49","Cuba","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","77148","X","Sources internationales sûres",""
"MK","Indicateurs macro","279","Curaçao","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","3147.616183","X","Sources internationales sûres",""
"MK","Indicateurs macro","54","Danemark","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","218096.87993","X","Sources internationales sûres",""
"MK","Indicateurs macro","54","Danemark","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","343584.385594","X","Sources internationales sûres",""
"MK","Indicateurs macro","72","Djibouti","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","623.231067","X","Sources internationales sûres",""
"MK","Indicateurs macro","72","Djibouti","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2042.817163","X","Sources internationales sûres",""
"MK","Indicateurs macro","55","Dominique","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","343.311111","X","Sources internationales sûres",""
"MK","Indicateurs macro","55","Dominique","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","498.296296","X","Sources internationales sûres",""
"MK","Indicateurs macro","59","Égypte","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","74076.435595","X","Sources internationales sûres",""
"MK","Indicateurs macro","59","Égypte","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","270782.459345","X","Sources internationales sûres",""
"MK","Indicateurs macro","60","El Salvador","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","13243.892169","X","Sources internationales sûres",""
"MK","Indicateurs macro","60","El Salvador","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","21990.962051","X","Sources internationales sûres",""
"MK","Indicateurs macro","225","Émirats arabes unis","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","125971.349039","X","Sources internationales sûres",""
"MK","Indicateurs macro","225","Émirats arabes unis","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","390107.528483","X","Sources internationales sûres",""
"MK","Indicateurs macro","58","Équateur","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","32432.859","X","Sources internationales sûres",""
"MK","Indicateurs macro","58","Équateur","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","95129.659","X","Sources internationales sûres",""
"MK","Indicateurs macro","178","Érythrée","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","870.248292","X","Sources internationales sûres",""
"MK","Indicateurs macro","178","Érythrée","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1957.95122","X","Sources internationales sûres",""
"MK","Indicateurs macro","203","Espagne","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","905457.182332","X","Sources internationales sûres",""
"MK","Indicateurs macro","203","Espagne","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1354757.433213","X","Sources internationales sûres",""
"MK","Indicateurs macro","63","Estonie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","9877.791716","X","Sources internationales sûres",""
"MK","Indicateurs macro","63","Estonie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","25271.406708","X","Sources internationales sûres",""
"MK","Indicateurs macro","209","Eswatini","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2197.598421","X","Sources internationales sûres",""
"MK","Indicateurs macro","209","Eswatini","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","4597.723865","X","Sources internationales sûres",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","11458246","X","Sources internationales sûres",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","16784851","X","Sources internationales sûres",""
"MK","Indicateurs macro","238","Éthiopie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","8454.148505","X","Sources internationales sûres",""
"MK","Indicateurs macro","238","Éthiopie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","46542.005272","X","Sources internationales sûres",""
"MK","Indicateurs macro","185","Fédération de Russie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","434560.366632","X","Sources internationales sûres",""
"MK","Indicateurs macro","185","Fédération de Russie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2297124.890547","X","Sources internationales sûres",""
"MK","Indicateurs macro","66","Fidji","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2344.80934","X","Sources internationales sûres",""
"MK","Indicateurs macro","66","Fidji","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","4189.863717","X","Sources internationales sûres",""
"MK","Indicateurs macro","67","Finlande","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","171267.6618","X","Sources internationales sûres",""
"MK","Indicateurs macro","67","Finlande","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","271285.280621","X","Sources internationales sûres",""
"MK","Indicateurs macro","68","France","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","1840409.841231","X","Sources internationales sûres",""
"MK","Indicateurs macro","68","France","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2811077.725704","X","Sources internationales sûres",""
"MK","Indicateurs macro","74","Gabon","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","6557.29171","X","Sources internationales sûres",""
